Epoch	Batch	Perplexity
1	1	26528.4286
1	2	26187.2766
1	3	25825.5258
1	4	25387.3889
1	5	24614.8443
1	6	23453.6258
1	7	21505.9660
1	8	18093.2321
1	9	14044.2821
1	10	10706.7257
1	11	7668.0640
1	12	5403.8851
1	13	3625.3820
1	14	2460.8283
1	15	1646.1032
1	16	1058.9565
1	17	839.4750
1	18	611.3992
1	19	610.6361
1	20	533.5384
1	21	412.1589
1	22	456.8773
1	23	391.2848
1	24	448.9715
1	25	404.4184
1	26	495.5699
1	27	469.0396
1	28	350.1040
1	29	426.6903
1	30	343.6299
1	31	406.4111
1	32	354.0715
1	33	380.0852
1	34	358.8711
1	35	362.8997
1	36	299.3370
1	37	359.9858
1	38	334.5900
1	39	348.2330
1	40	350.8113
1	41	323.4287
1	42	352.2425
1	43	303.1896
1	44	337.8543
1	45	317.5889
1	46	318.8826
1	47	343.2844
1	48	320.4534
1	49	315.2106
1	50	264.9457
1	51	316.2419
1	52	281.5511
1	53	289.1862
1	54	307.9600
1	55	304.1511
1	56	298.4959
1	57	307.6068
1	58	295.6301
1	59	302.1123
1	60	290.5398
1	61	286.3058
1	62	295.6458
1	63	297.0890
1	64	274.9274
1	65	297.8548
1	66	277.8990
1	67	295.4326
1	68	302.1636
1	69	297.3397
1	70	299.2285
1	71	285.5033
1	72	259.7464
1	73	282.5175
1	74	318.6634
1	75	280.2203
1	76	296.6711
1	77	292.2813
1	78	274.7551
1	79	275.6968
1	80	280.1666
1	81	264.1617
1	82	263.8359
1	83	291.4678
1	84	247.6927
1	85	258.9934
1	86	270.1054
1	87	280.2709
1	88	252.9029
1	89	260.2933
1	90	267.0258
1	91	323.4681
1	92	256.1131
1	93	266.3717
1	94	280.3707
1	95	250.3618
1	96	251.3845
1	97	280.5189
1	98	253.4693
1	99	274.1805
1	100	226.6845
1	101	237.7175
1	102	256.6728
1	103	235.9970
1	104	260.5813
1	105	251.5811
1	106	248.6816
1	107	230.1215
1	108	244.7057
1	109	264.9498
1	110	274.1664
1	111	214.4774
1	112	216.1085
1	113	216.5430
1	114	200.9770
1	115	236.7733
1	116	228.7467
1	117	247.5259
1	118	204.3286
1	119	192.6383
1	120	199.1202
1	121	235.1585
1	122	238.5896
1	123	206.7999
1	124	251.8410
1	125	207.5480
1	126	222.5460
1	127	217.2855
1	128	242.0699
1	129	224.2736
1	130	217.0910
1	131	201.5182
1	132	214.1453
1	133	208.2222
1	134	209.9966
1	135	203.2329
1	136	217.9752
1	137	195.0630
1	138	175.9221
1	139	209.5912
1	140	197.7137
1	141	199.1051
1	142	199.5334
1	143	201.7178
1	144	203.6162
1	145	201.3635
1	146	177.2679
End of Epoch 1 - Average Train Perplexity: 413.9293
2	1	188.6170
2	2	184.0632
2	3	215.6726
2	4	197.8752
2	5	198.8094
2	6	177.2880
2	7	201.6864
2	8	183.6773
2	9	175.3894
2	10	184.0864
2	11	188.9361
2	12	214.9481
2	13	192.7220
2	14	182.4152
2	15	187.3353
2	16	178.5078
2	17	203.9593
2	18	200.1050
2	19	175.2983
2	20	194.7702
2	21	167.6614
2	22	175.7936
2	23	182.3725
2	24	194.5750
2	25	188.1109
2	26	206.2516
2	27	187.1835
2	28	197.4153
2	29	197.0080
2	30	194.7718
2	31	211.4763
2	32	164.7361
2	33	180.9126
2	34	166.0290
2	35	216.6972
2	36	221.6270
2	37	177.9927
2	38	180.5559
2	39	179.6155
